chunker,chunk_size,overlap_size,top_k,iou_score,recall_score,precision_score,iou_score_std,recall_score_std,precision_score_std
recursive,800,125,10,0.008452382720331168,0.9652777777777778,0.008452382720331168,0.005145178582702587,0.18307536564533425,0.005145178582702587
recursive,800,125,Min,0.044077492118934004,0.5507580577132758,0.044108727424372766,0.050446148481453255,0.4928780595955347,0.05044172690541835
fixed-size,400,200,5,0.026693039440308455,0.9065754314275549,0.026718224848436098,0.017353144116802232,0.27271711766010515,0.017360442765323537
fixed-size,400,200,10,0.014390658608582229,0.9615807210926045,0.01439228158125609,0.008589162210753466,0.1783044787540294,0.008588804793853835
fixed-size,400,200,Min,0.05834632914510064,0.6789063516630287,0.05881513360779225,0.05685320650103393,0.44599632384531457,0.057204850624494985
recursive,400,200,5,0.033645363228622854,0.866760579365059,0.03365964072331121,0.02357557651466949,0.3325915289159482,0.02358106422807969
recursive,400,200,10,0.017792318426639118,0.9392474630843825,0.01779457900385364,0.011143333619244303,0.232100368250851,0.011144552866654946
recursive,400,200,Min,0.08707992219629462,0.5567338014410268,0.0873040900909145,0.10231403571335383,0.48612740700021406,0.10245660102189781
fixed-size,400,125,5,0.02561999883396403,0.8685468717841945,0.02565744008944745,0.016653762408643556,0.3098230749241041,0.01664821797818389
fixed-size,400,125,10,0.014783316774627877,0.9862788088645319,0.01478522205019217,0.008350871919718127,0.09489595258200834,0.00835112617662723
fixed-size,400,125,Min,0.07122406121315919,0.6406844462123515,0.07184336733863098,0.06725772509946248,0.4564389258228672,0.06751444530134518
recursive,400,125,5,0.03364382152975046,0.8469141272102805,0.03366933781478539,0.024497995832902637,0.34924951734338855,0.024513097537579333
recursive,400,125,10,0.01863162275035387,0.9461919075288269,0.018634278395206462,0.011481869858151398,0.21845296158219815,0.011483706239609006
recursive,400,125,Min,0.09431884582175105,0.5298711785098327,0.0947769630351465,0.10907351577231643,0.4867649694111167,0.10929946493841206
fixed-size,400,0,5,0.02348809281139684,0.7715098721818009,0.023535729910618745,0.018262283951078626,0.3941403637962369,0.018304190624504328
fixed-size,400,0,10,0.01444009460027544,0.9567336065601368,0.01444443373160025,0.008517865974642528,0.1902984858592971,0.008521523098894708
fixed-size,400,0,Min,0.06266558718241727,0.4750780059631558,0.06322233869905497,0.07650274608455371,0.48092442032155536,0.07688754326096536
recursive,400,0,5,0.033889209402869026,0.8485258184096037,0.03391138869233777,0.02528101335033272,0.34697767691113257,0.02529273714882135
recursive,400,0,10,0.01990348826903538,0.9782733603384285,0.01990839786755375,0.011821620261584209,0.12717326441318375,0.011824507642511105
recursive,400,0,Min,0.10136177006382735,0.5217875458040115,0.10159895104247713,0.12189874190660573,0.4922050228131982,0.12202355723712899
fixed-size,250,125,5,0.039558977163929865,0.8564410136185009,0.03965952731931637,0.026219914953539123,0.3275994626987763,0.026321290811573844
fixed-size,250,125,10,0.021628886512736464,0.9204976515510531,0.02164411602024643,0.013605786173423484,0.2515740613039092,0.013608892808858854
fixed-size,250,125,Min,0.08095378550441897,0.6886086092231724,0.08183349102535464,0.070477291995633,0.43983392122431925,0.07130569980289936
recursive,250,125,5,0.048864570558700374,0.8386498230340155,0.04894532503756964,0.03648138317549147,0.35116863358965794,0.03655366437779649
recursive,250,125,10,0.028105627132781936,0.9266669804889004,0.028117463751840113,0.01801893113306975,0.24609435089961065,0.018020815362790793
recursive,250,125,Min,0.13735414042461688,0.5481158104615663,0.13807982489329929,0.17101288032046397,0.4874548406263108,0.17117426556297677
fixed-size,250,0,5,0.036988215335067604,0.7973186212718864,0.037117181065839826,0.02669206286200777,0.3697569518265785,0.02673464145731828
fixed-size,250,0,10,0.021730449127764333,0.9114021791958956,0.02174566780707309,0.013822157020437945,0.25566190243688836,0.013828820589145476
fixed-size,250,0,Min,0.10345869894082543,0.5195209416229672,0.10574963682553906,0.11269416024114386,0.460972532735297,0.1139075846703428
recursive,250,0,5,0.05286534798931635,0.8628757655003704,0.05298045655869474,0.036358234864325246,0.32260126243354625,0.0364591114767472
recursive,250,0,10,0.030996433329899917,0.9469489281467389,0.03101642869364768,0.018745180859820337,0.20976618233573294,0.018771682522419782
recursive,250,0,Min,0.16982421604917328,0.5405341200476241,0.1709686822893826,0.2176467273612648,0.48455974896570725,0.21753994073428756
fixed-size,200,0,5,0.04512450191355461,0.7976012175959286,0.04538893325419158,0.031156222838582465,0.36296599308145094,0.03127668235983021
fixed-size,200,0,10,0.026342006919685385,0.9045783897448827,0.02639163853079404,0.015472912732197967,0.2521456250624352,0.015494906904010662
fixed-size,200,0,Min,0.10724149587895068,0.47527832127776787,0.10939454124499128,0.12726407334994855,0.46668435866937785,0.12867020382040006
recursive,200,0,5,0.06460680973293788,0.778385979221383,0.06494008264043419,0.05006369524983676,0.3916600981237206,0.05012183743422138
recursive,200,0,10,0.03879539376260293,0.8830515087961811,0.038847914904647424,0.02573232434682229,0.2966925811976371,0.025738681829601616
recursive,200,0,Min,0.17999372585549642,0.5101528833469171,0.1845367739229443,0.23098823579177008,0.48333091150905666,0.23558671188906433
