chunker,chunk_size,overlap_size,top_k,iou_score,recall_score,precision_score,iou_score_std,recall_score_std,precision_score_std
fixed-size,400,200,Min,0.05879284293442587,0.7852024782140489,0.05923608026084811,0.04766181462669888,0.3874687468375877,0.049008734541643784
recursive,400,200,5,0.03596338643202247,0.9355638882051553,0.035970018609417564,0.02258516092562777,0.2425339001022225,0.022589626620250415
recursive,400,200,10,0.01830726203821449,0.9827286898907567,0.018307700279528175,0.010769454947794778,0.12297295784122293,0.010769070984734548
recursive,400,200,Min,0.11215254044706476,0.731192193529638,0.11220382905302755,0.1105081538654844,0.4365121198375242,0.11048820947960893
fixed-size,400,125,5,0.026767969019205907,0.9169324534288131,0.026779981679524605,0.016755004505259234,0.26394051938550556,0.01674939486154023
fixed-size,400,125,10,0.01474766124803379,0.9897946859903382,0.014747905424330375,0.008464282750390038,0.0914958301600933,0.008464039114438495
fixed-size,400,125,Min,0.05994572979404533,0.6770185817527733,0.060252500884969265,0.05395624461400325,0.44827359713184134,0.05416996054958602
recursive,400,125,5,0.03548002663352085,0.9127389406160569,0.03549806181946697,0.022766536737829055,0.2770644798382866,0.02278454928064012
recursive,400,125,10,0.01875221224218456,0.9757842454463123,0.01875265562248373,0.011141908204751118,0.14757604205611707,0.01114152161687019
recursive,400,125,Min,0.10872412057487629,0.6311728897559452,0.10883085360837416,0.11371414144130958,0.47644356742136185,0.11367057783793391
fixed-size,400,0,5,0.028807980725887472,0.9641267729216314,0.028819062823585997,0.016976771970164874,0.17074532632966255,0.01698297331469501
fixed-size,400,0,10,0.014808208833567938,0.9916482533670035,0.014809088355203214,0.008463762614197,0.08461610185661367,0.008464543455914061
fixed-size,400,0,Min,0.07645868548123164,0.5784207892183284,0.07685477779850472,0.08061224852246707,0.47685761629213336,0.08094863224666367
recursive,400,0,5,0.03716585305577873,0.939490834052219,0.03717617354304835,0.023423372512758514,0.23107154631948315,0.023428287071786617
recursive,400,0,10,0.01909881159462646,0.9822952011083994,0.019099462977366574,0.011155057262667563,0.12303651309083528,0.0111548932862882
recursive,400,0,Min,0.12658920958840864,0.6573799091636248,0.12673815025050836,0.12515336339730518,0.4644268434826484,0.12512687473371636
fixed-size,250,125,5,0.04434433651839197,0.9333987274884747,0.04440246363170234,0.026489248367260555,0.22463330743496213,0.026525147091864022
fixed-size,250,125,10,0.02323288800414271,0.9873878046772069,0.02323700100059357,0.01311403358807965,0.09565966277513345,0.013115441879626977
fixed-size,250,125,Min,0.0844392889602575,0.7772063832743462,0.08536164846907583,0.07073123907073744,0.39477283832412846,0.07314036097008632
recursive,250,125,5,0.054268389348022174,0.917786410326959,0.05428493855776249,0.03617615355078957,0.26866716523942225,0.036179102383960944
recursive,250,125,10,0.029075510798127417,0.9789480330464875,0.029075757225056953,0.017207485799125753,0.14279718154071924,0.01720765567597734
recursive,250,125,Min,0.17613991305030544,0.7457583645598623,0.1765117582294797,0.16417048609778276,0.422888951536118,0.16411462432544469
fixed-size,250,0,5,0.04514967703566567,0.9492772593234824,0.045159857829694124,0.027488866480885898,0.20685418915584183,0.027484702399122277
fixed-size,250,0,10,0.023541214698033337,0.9897946859903382,0.023541835351559386,0.013492927262383773,0.0914958301600933,0.013492306565558717
fixed-size,250,0,Min,0.12103327150765468,0.6310144123124835,0.12206994992686421,0.11623781897197487,0.4479871284169625,0.11632306712696265
recursive,250,0,5,0.05626771247311151,0.9408408729295865,0.05631394901874071,0.03581340996765413,0.22952903476410683,0.035913591054128564
recursive,250,0,10,0.031168563848272293,0.9889456821202681,0.031170460478814024,0.017972164940851302,0.0915794427071729,0.017972289170573363
recursive,250,0,Min,0.2167538714545413,0.7034286981438216,0.21736705340416143,0.21534900542628105,0.4389778346052476,0.2152088902346656
fixed-size,200,0,5,0.054403861568380264,0.9301423451694973,0.0545682844222915,0.03220118908117075,0.2143056765328181,0.03234344280686242
fixed-size,200,0,10,0.028735078173897796,0.9768153551114137,0.02875243055381269,0.01646331392355917,0.10984627000157506,0.01646589787792456
fixed-size,200,0,Min,0.16011743135184167,0.6861453047215931,0.16341435595302195,0.1369242726996106,0.4197100120066421,0.14006127094318144
recursive,200,0,5,0.07481237061868884,0.9415921132994602,0.07493093498433824,0.04631486165736934,0.22191097615877212,0.04634941019065881
recursive,200,0,10,0.0399210190458308,0.974858938811336,0.03993178939651108,0.022828565251521805,0.14765750370555414,0.022829389054068082
recursive,200,0,Min,0.2386561046772522,0.6885887389707706,0.24201634632928648,0.22889499828736792,0.43780383559826624,0.23020449771918566
