,iou_scores,recall_scores,precision_scores
Recursive-200-0-5,0.07614187339007035,0.9837609863866495,0.0762414863997938
Recursive-250-125-Min,0.1567201240029833,0.6440823519358745,0.15716044996731993
Recursive-250-0-Min,0.23687865895074406,0.8076574504693094,0.23746979207105984
